country,city,long,lat,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment
Germany,München,48.1375,11.575,1000,1100,10,100,low,1,0,Munich,מינכן,,München,,https://de.wikipedia.org/wiki/Geschichte_der_Juden_in_M%C3%BCnchen,
France,Arles,43.6767,4.6278,900,1000,100,200,high,2,3,,אַרְלְ,,,ארלדי,https://he.wikipedia.org/wiki/%D7%90%D7%A8%D7%9C,
France,Arles,43.6767,4.6278,1100,1300,300,1200,high,2,3,,אַרְלְ,,,,https://www.encyclopedia.com/places/britain-ireland-france-and-low-countries/french-political-geography/arles,
Poland,Inowłódz,51.526944,20.221389,1200,1400,300,150,high,2,2,,אינובלודז',,,,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%A0%D7%95%D7%91%D7%9C%D7%95%D7%93%D7%96%27,
France,Trinquetaille,43.680556,4.622222,850,1000,10,200,medium,1,0,,טרינקווטיה,,,"טרונקטיילא, טְרַנְקְטֵיילִישׁ",https://www.jewishencyclopedia.com/articles/14520-trinquetaille,
Czech,Boskovice,49.487537,16.660002,1100,1300,0,250,high,1,0,Boskovice,,,Boskowitz,,https://he.wikipedia.org/wiki/%D7%91%D7%95%D7%A1%D7%A7%D7%95%D7%91%D7%99%D7%A6%D7%94,
