country,city,long,lat,yead_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment,,
Germany,Aschersleben,11.463627,51.7596414,0,,1942,30,30,,,,,אשרסלבן,,,,https://www.jewishvirtuallibrary.org/anhalt-jewish-virtual-library,,,
Italy,Asti,8.20751,44.90162,1450,1450,1942,30,30,,,,,יהדות אסטי,,,,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%90%D7%A1%D7%98%D7%99,,,
France,Aube,4.166667,48.333333,0,,1942,30,30,,,,,אוב (מחוז),,,,https://jguideeurope.org/en/region/france/champagne-ardenne/,,,
Germany,Augsburg,10.8986971,48.3668041,1200,1200,1942,30,30,,,,,אאוגסבורג,,,,https://he.wikipedia.org/wiki/%D7%90%D7%90%D7%95%D7%92%D7%A1%D7%91%D7%95%D7%A8%D7%92,,,
Germany,Augsburg,10.8986971,48.3668041,1212,1212,1942,30,30,,,,,אוגסבורג,,,,https://www.jewishvirtuallibrary.org/augsburg,,,
Germany,Aurich,7.4907877,53.4724018,1378,1378,1942,30,30,,,,,אאוריך,,,,https://www.jewishvirtuallibrary.org/aurich,,,
Austria,Austria,14.5501,47.5162,0,,1942,30,30,,,,,יהדות אוסטריה,,,,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%90%D7%95%D7%A1%D7%98%D7%A8%D7%99%D7%94,,,
France,Auxerre,3.570579,47.7961287,1070,1070,1942,30,30,,,,,אוסר, אלצורא,,,https://www.jewishvirtuallibrary.org/auxerre,,,
France,Avignon,4.80892,43.94834,200,200,1942,30,30,,,,,אביניון,,,,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%A0%D7%99%D7%95%D7%9F,,,
France,Avignon,4.80892,43.94834,1100,1100,1942,30,30,,,,,אביניון,,,,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%A0%D7%99%D7%95%D7%9F,,,
Germany,Babenhausen,10.25325,48.14497,1349,1349,1942,30,30,,,,,בבנהאוזן,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bacharach,7.76948,50.05725,1146,1146,1942,30,30,,,,,בכרך,,,,https://he.wikipedia.org/wiki/%D7%91%D7%9B%D7%A8%D7%9A,,,
Germany,Bacharach,7.76948,50.05725,1349,1349,1942,30,30,,,,,בכרך,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bacharach,7.76948,50.05725,1125,1125,1942,30,30,,,,,בכרך,,,,https://www.jewishvirtuallibrary.org/bacharach-3,,,
Germany,Bad Buchau,9.6104768,48.0614616,1382,1382,1942,30,30,,,,, באד בוכאו,,,,https://dbs.anumuseum.org.il/skn/he/c6/e179067/%D7%9E%D7%A7%D7%95%D7%9D/%D7%91%D7%90%D7%93_%D7%91%D7%95%D7%9B%D7%90%D7%95,,,
Switzerland,Baden-in-Aargau,8.3,47.466667,1349,1349,1942,30,30,,,,,באדן,,,,BLACK DEATH - JewishEncyclopedia.com,,,
France,Bagnols-sur-Cèze,4.61974,44.16259,0,,1942,30,30,,,,,באניול-סור-סז,באנוילש,,,,,,
France,Bagnols-sur-Cèze,4.61974,44.16259,0,,1942,30,30,,,,,בניול-סור-סז,,,,,,,
Germany,Baiersdorf,11.0352214,49.6609162,1400,1400,1942,30,30,,,,,באיירסדורף,,,,https://www.jewishvirtuallibrary.org/baiersdorf,,,
Germany,Baldern,,,0,,1942,30,30,,,,,בלדרן,,,,EhemaligeSynagogeOberdorf-Katalog-englisch-2013.pdf,,,
Germany,Baldingen,,,0,,1942,30,30,,,,,באלדינגן,,,,EhemaligeSynagogeOberdorf-Katalog-englisch-2013.pdf,,,
Germany,Bamberg,10.90067,49.89873,1000,1000,1942,30,30,,,,,במברג,,,,https://www.jewishencyclopedia.com/articles/2422-bamberg,,,
Germany,Bamberg,10.90067,49.89873,1349,1349,1942,30,30,,,,,במברג,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bamberg,,,1090,1090,1942,30,30,,,,,במברג,,,,https://www.jewishvirtuallibrary.org/bamberg,,,
Germany,Bamberg,,,1060,1060,1942,30,30,,,,,במברג,,,,https://www.jewishvirtuallibrary.org/bamberg,,,
Ukraine,Bar,19.0954528,42.0979745,1542,1542,1942,30,30,,,,,באר (אוקראינה),,,,https://he.wikipedia.org/wiki/%D7%91%D7%90%D7%A8_(%D7%90%D7%95%D7%A7%D7%A8%D7%90%D7%99%D7%A0%D7%94),,,
Poland,Baranów Sandomierski,18.0047,51.26342,1350,1350,1942,30,30,,,,,ברנוב (פודקרפאטי),ברנוב סנדומיירסקי,,,https://he.wikipedia.org/wiki/%D7%91%D7%A8%D7%A0%D7%95%D7%91_(%D7%A4%D7%95%D7%93%D7%A7%D7%A8%D7%A4%D7%90%D7%98%D7%99),,,
Slovakia ,"Bardejov, Bartfa, Bartfeldt, Bardiów",21.2756031,49.2926871,1200,1200,1942,30,30,,,,,ברדיוב,,,,https://www.jewishvirtuallibrary.org/bardejov,,,
France,Bar-Le-Duc,5.16108,48.77275,0,,1942,30,30,,,,,בר-לה-דוק,,,,https://www.jewishvirtuallibrary.org/bar-le-duc,,,
France,Bar-sur-Aube,4.7064,48.23315,0,,1942,30,30,,,,,בר-סור-אוב,,,,"Aube - jewish heritage, history, synagogues, museums, areas and sites to visit (jguideeurope.org)",,,
Switzerland,Basel,7.5878261,47.5581077,1150,1150,1942,30,30,,,,,בזל,,Bâle,,https://he.wikipedia.org/wiki/%D7%91%D7%96%D7%9C#%D7%99%D7%94%D7%95%D7%93%D7%99%D7%9D_%D7%91%D7%91%D7%96%D7%9C,,,
Switzerland,Basel,7.5878261,47.5581077,1100,1100,1942,30,30,,,,,בזל,,Bâle,,https://he.wikipedia.org/wiki/%D7%91%D7%96%D7%9C,,,
Switzerland,Basel,7.5878261,47.5581077,1348,1348,1349,1200,0,,,,,בזל,,Bâle,,https://he.wikipedia.org/wiki/%D7%98%D7%91%D7%97_%D7%91%D7%96%D7%9C,,,
Switzerland,Basel,7.5878261,47.5581077,1349,1349,1361,0,0,,,,,בזל,,Bâle,,https://he.wikipedia.org/wiki/%D7%98%D7%91%D7%97_%D7%91%D7%96%D7%9C,,,
